OBJECTID,NUM_Ped_Bike_Crashes,NUM_MotoristCrashes,NUM_Ped_Bike_Killed,NUM_Ped_Bike_SeriousInjury,NUM_Motorist_Killed,NUM_Motorist_SeriousInjury,KSI_Revised,Street,HIN_Version,GlobalID,Shape__Length
28680,0,1,0,0,0,1,1,E Arrowood Rd,2017-2021,be7d1d76-3b2b-42e4-a83f-f23b68374a12,2384.14546228335
28681,2,0,0,2,0,0,6,Central Av,2013-2017,d0cc7df5-3aae-4499-b12c-ad8e3f2b6f0d,2483.84133581015
28682,1,1,1,0,0,1,6,University City Bv,2015-2019,9502276c-d393-4a63-bee8-98f4679438b9,2514.22700077628
28683,1,0,0,1,0,0,3,W Arrowood Rd,2018-2022,20e8b619-d2f4-4be6-8c4e-9b84443b42b0,2396.0748094841
28684,0,1,0,0,1,0,5,Clemson Av,2018-2022,48027c0a-74be-49fe-b9d3-6623d5ebcd3e,2631.337902119
28685,1,1,1,0,1,0,10,Moores Chapel Rd,2016-2020,ce783a54-cffd-443e-b3db-83a00a308963,2113.27584532347
28686,1,0,0,1,0,0,3,Park South Dr,2017-2021,6a733685-cb37-4147-8373-a3cc76ef3cbf,2019.40126858927
28687,1,2,1,0,2,0,15,Parkton Rd,2017-2021,4b7eb2d3-4447-47b7-90ee-762ed59534d8,2128.61980485444
28688,0,1,0,0,0,1,1,J M Keynes Dr,2017-2021,726bbe71-a8bf-45d9-bf33-423303f7ad14,1374.7829314554
28689,0,1,0,0,1,0,5,Caldwell Rd,2018-2022,ba3853d4-409b-42da-8fb3-bbe97e9ed967,2486.60574826814
28690,1,0,0,1,0,0,3,W Mallard Creek Church Rd,2019-2023,d3e93430-ac52-46ad-a34f-6fc207d6688f,2216.04111957195
28691,1,0,0,1,0,0,3,Catherine Simmons Av,2018-2022,cfe7ce94-b3c3-4cf7-bab8-3dda6c2b101a,1694.18483884141
28692,0,1,0,0,0,1,1,Bingham Dr,2019-2023,578ca075-2a39-4059-b77c-2f1295cc7bab,1214.49020501717
28693,1,0,1,0,0,0,5,E Independence Bv,2015-2019,77c817b7-0062-46f8-ab75-32a532f97233,2543.45759545101
28694,0,1,0,0,0,1,1,Ashley Rd,2018-2022,5ef63a1f-86ef-44b2-9bcb-331560df02a9,2253.18250778401
28695,0,1,0,0,0,1,1,Exit 61 Johnston Rd Inner Ra,2016-2020,b36e9247-0242-417c-bb20-a2bdcdec6363,1632.13894894704
28696,0,1,0,0,0,1,1,E Brookshire Fr Ra,2015-2019,6f155ddd-67e0-4b33-96b8-3b6748f9d94b,64.9213300685165
28697,1,0,1,0,0,0,5,Harrington Woods Rd,2019-2023,096cc3d0-da32-4d74-84ba-516a7788a88b,1375.52460459105
28698,0,1,0,0,0,1,1,Beatties Ford Rd,2018-2022,b9a56510-0ab5-427b-8fc7-ae7f0737e1cf,2485.35128242678
28699,1,0,0,1,0,0,3,Pimpernel Rd,2015-2019,924fce97-e758-414e-87e5-b9e59dc11ee1,1531.08458139122
28700,0,1,0,0,0,1,1,Weststone Dr,2015-2019,359bc24f-78eb-491c-a5bf-001285711a90,2227.083116539
28701,0,1,0,0,1,0,5,Westerly Hills Dr,2017-2021,df18e6cf-1221-4f71-b24b-38d1e949b0d9,2307.6457818032
28702,1,0,0,1,0,0,3,Queen City Dr,2013-2017,b4431f28-8788-431e-9ed8-23c222f29cbe,2212.18210126397
