REQUEST_NO,GRANDCHILD,CHILD,PARENT,GRANDPARENT,REQUEST_TYPE,INTERNAL_FIELD_OBSERVATION,INTERNAL_WORK_REQUEST,TITLE,DETAILED_DESCRIPTION,RECEIVED_DATE,FISCAL_YEAR,FISCAL_MONTH,CMPD_DIVISION,DEPARTMENT,DIVISION,NEIGHBORHOOD_PROFILE_AREA,BLOCK_NO,STREET_DIRECTION,STREET_NAME,STREET_TYPE,CITY,STATE,ZIP_CODE,FULL_ADDRESS,RECEIVED_BY,RECEIVED_BY_GROUP,X_COORD,Y_COORD,LATITUDE,LONGITUDE,COUNCIL_DISTRICT,STATUS,ORIGIN,Shape,OBJECTID,MODIFY_DATE,GlobalID,PID
9610014,SWS YARD WST AREA 3,SWS YARD WASTE,Sanitation,Solid Waste Services,SW DOCUMENT YARD WASTE,N,N,SW DOCUMENT YARD WASTE,ACQUAN WESLEY STATES DUKE ENERGY HAD SOME TREES CUT DOWN DUE TO THE TREE ON POWER LINES.  RESIDENT IS REQUESTING A BOOM TRUCK.  ,2024-02-05 14:38:40,2024,08-Feb,NORTH,Solid Waste Services,Sanitation,260.0,6016.0,,BEATTIES FORD,RD,CHARLOTTE,NC,,"6016 BEATTIES FORD RD, CHARLOTTE, NC  ",JERONA WILLIAMS,311 Partner Liaison,1444084.0,575046.0,35.31570599,-80.86366986,2.0,CLOSED,CITIZEN,POINT (1444084 575046),7285512,,7E8C6CFE-D833-448D-8BE6-4E6EABFF71E8,03712408
9608998,HNS Code Enforcement,Housing and NBHD Serv,,,HNS HEALTH AND SANITATION,N,N,HNS HEALTH AND SANITATION-JUNK ACCUMALATION,"Citizen called in to report junk accumulation all around the house 
",2024-02-05 10:04:07,2024,08-Feb,NORTH,Housing and NBHD Serv,HNS Code Enforcement,196.0,7123.0,,BEATTIES FORD,RD,CHARLOTTE,NC,,"7123 BEATTIES FORD RD, CHARLOTTE, NC  ",LATRICE JOHNSON,311 Partner Liaison,1442201.0,579627.0,35.32819333,-80.8702703,,CLOSED,CITIZEN,POINT (1442201 579627),7285668,,3E8DAA64-508B-45F1-ABF5-B7AD3993514A,03709106
9578243,HNS Code Enforcement,Housing and NBHD Serv,,,HNS HEALTH AND SANITATION,N,N,STREETS - Right of Way Sight Obstructions,"Senior Community   Obstruction from weeds and bushes when exiting the property. Very Crucial!!
This is a senior community. Several near collisions have occured!",2024-01-11 14:00:01,2024,07-Jan,NORTH,Housing and NBHD Serv,HNS Code Enforcement,196.0,5901.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"5901 BEATTIES FORD RD, CHARLOTTE, NC  28216",EMERALD WEB PAGE,WEB Requests,1443726.0,574451.0,35.31405296,-80.86483228,2.0,CLOSED,MOBILE CITIZEN,POINT (1443726 574451),7265182,,95BD8D8C-29BE-47D9-8CC3-9117C566FE16,03736122
9624224,SWS BULKY AREA 1,SWS BULKY,Sanitation,Solid Waste Services,NON_RECYCLABLE ITEMS,N,N,NON_RECYCLABLE ITEMS,"Bedframes (2), Headboards (2) Chairs, Box of misc, Wall art/pictures frames, Mirror",2024-02-15 15:06:22,2024,08-Feb,METRO,Solid Waste Services,Sanitation,85.0,1301.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"1301 BEATTIES FORD RD, CHARLOTTE, NC  28216",MELANIE BLACKWELL,311 Partner Liaison,1445938.0,552967.0,35.25514688,-80.85607213,2.0,CLOSED,CITIZEN,POINT (1445938 552967),7294588,,BFA43C28-3F41-4D0D-A622-7BF2B7E53841,06906125
9624532,Special Services,Solid Waste Services,,,LITTER/DEBRIS IN STREET,N,N,LITTER/DEBRIS IN STREET,CITIZEN CALLED ABOUT TRASH ON THE SIDE OF THE ROAD.,2024-02-15 17:24:04,2024,08-Feb,,Solid Waste Services,Special Services,,,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0," BEATTIES FORD RD, CHARLOTTE, NC  28216",WILLIAM BENJAMIN,311 Partner Liaison,,,,,,CLOSED,CITIZEN,,7294690,,5BF3CA96-031E-4363-A076-C767AC4A8EEC,
9571491,SWS GARB AREA 3,SWS GARBAGE,Sanitation,Solid Waste Services,MISSED GARBAGE,N,N,MISSED GARBAGE,MS MARCIA REPORTS GARVBAGE NOT BEING COLLECTED ON SCHEDULED DAY. MS MARCIA REPORTS HAVING SOME SIDEWALKS INSTALLED AND UNSURE IF CARTS WERE BLOCKED BY CREWS,2024-01-08 07:28:54,2024,07-Jan,METRO,Solid Waste Services,Sanitation,85.0,1619.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"1619 BEATTIES FORD RD, CHARLOTTE, NC  28216",DIANE RUIZ,311 Partner Liaison,1446105.0,554435.0,35.25918831,-80.85560474,2.0,CLOSED,CITIZEN,POINT (1446105 554435),7261568,,BEEE8747-42EF-43E7-9ED2-0A6D029F2980,06909119
9632641,SWS BULKY AREA 1,SWS BULKY,Sanitation,Solid Waste Services,NON_RECYCLABLE ITEMS,N,N,NON_RECYCLABLE ITEMS," Mattress, Microwave-2, Nightstand, Table",2024-02-21 17:11:05,2024,08-Feb,METRO,Solid Waste Services,Sanitation,85.0,1307.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"1307 BEATTIES FORD RD, CHARLOTTE, NC  28216",FANTA HUGHES,311 Partner Liaison,1445941.0,553041.0,35.25535032,-80.85606672,2.0,CLOSED,CITIZEN,POINT (1445941 553041),7300300,,FEA159FF-107B-446F-BB2C-93E05BA0CE1A,06906126
9632640,SWS BULKY AREA 1,SWS BULKY,Sanitation,Solid Waste Services,RECYCLABLE ITEMS,N,N,RECYCLABLE ITEMS, Refrigerator,2024-02-21 17:10:49,2024,08-Feb,METRO,Solid Waste Services,Sanitation,85.0,1307.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"1307 BEATTIES FORD RD, CHARLOTTE, NC  28216",FANTA HUGHES,311 Partner Liaison,1445941.0,553041.0,35.25535032,-80.85606672,2.0,CLOSED,CITIZEN,POINT (1445941 553041),7299549,,124205D4-7B02-4B4B-8289-06C128C857D5,06906126
9631376,CDOT Customer Service,Transportation,,,CDOT TRAF SIGNAL REPAIR,N,N,STREETS - Traffic Signal Malfunctioning,Blinking yellow turning left on Capps hill no longer working causing long delays turning.,2024-02-21 08:48:58,2024,08-Feb,METRO,Transportation,CDOT Customer Service,139.0,3840.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"3840 BEATTIES FORD RD, CHARLOTTE, NC  28216",EMERALD WEB PAGE,WEB Requests,1445678.0,564836.0,35.28773965,-80.85768688,2.0,CLOSED,MOBILE CITIZEN,POINT (1445678 564836),7299775,,F0CF3A0E-E780-45CF-8B5E-D5F11D59EA50,04108112
9595785,SWS BULKY AREA 1,SWS BULKY,Sanitation,Solid Waste Services,RECYCLABLE ITEMS,N,N,Recyclable Items,Refrigerator(1),2024-01-25 10:49:08,2024,07-Jan,METRO,Solid Waste Services,Sanitation,85.0,1301.0,,BEATTIES FORD,RD,CHARLOTTE,NC,28216.0,"1301 BEATTIES FORD RD, CHARLOTTE, NC  28216",EMERALD WEB PAGE,WEB Requests,1445938.0,552967.0,35.25514688,-80.85607213,2.0,CLOSED,MOBILE CITIZEN,POINT (1445938 552967),7276744,,FC7E638A-9C96-4FE2-9EB2-35EA33B7B5A3,06906125
