OBJECTID,NUM_Ped_Bike_Crashes,NUM_MotoristCrashes,NUM_Ped_Bike_Killed,NUM_Ped_Bike_SeriousInjury,NUM_Motorist_Killed,NUM_Motorist_SeriousInjury,KSI_Revised,Street,HIN_Version,GlobalID,Shape__Length
28698,0.0,1.0,0.0,0.0,0.0,1.0,1,Beatties Ford Rd,2018-2022,b9a56510-0ab5-427b-8fc7-ae7f0737e1cf,2485.35128242678
28783,1.0,2.0,1.0,0.0,0.0,2.0,7,Beatties Ford Rd,2018-2022,db411259-b47f-4c04-8d4f-ebc25cb8e7eb,2485.35070712893
29167,0.0,1.0,0.0,0.0,1.0,0.0,5,Beatties Ford Rd,2016-2020,34ed052a-8adc-47b5-a314-8243135488fe,2485.35108492037
29182,3.0,4.0,1.0,2.0,1.0,3.0,19,Beatties Ford Rd,2017-2021,dd34493b-f581-4e3d-9e17-792c5bf83bda,2485.35067985382
29214,1.0,2.0,1.0,0.0,1.0,1.0,11,Beatties Ford Rd,2015-2019,29cf34b1-89c1-45a5-8bd5-ed5e79dd2d84,2485.35130766396
29311,0.0,1.0,0.0,0.0,0.0,1.0,1,Beatties Ford Rd,2019-2023,84e12dbc-b096-4bb6-bede-092cbf4d8c2a,2485.35128242678
29377,0.0,1.0,0.0,0.0,1.0,0.0,5,Beatties Ford Rd,2013-2017,7f1a41b9-0352-4b5e-ae6b-80b9e2400d04,2484.9433726761
29417,1.0,0.0,1.0,0.0,0.0,0.0,5,Beatties Ford Rd,2017-2021,f437ed99-4cb3-4cc1-8a17-ed4ae9d503fa,2485.35116742457
29548,0.0,3.0,0.0,0.0,0.0,3.0,3,Beatties Ford Rd,2014-2018,351b2c74-7c72-4a02-8814-6ecfb6ac4b72,2485.3511109082
29582,0.0,4.0,0.0,0.0,1.0,3.0,8,Beatties Ford Rd,2013-2017,2126ba9d-757d-42be-9aa3-c32e0493abd3,2481.4659776508
29674,0.0,1.0,0.0,0.0,1.0,0.0,5,Beatties Ford Rd,2015-2019,63c516de-626f-4333-9403-2d55dc65d00a,2485.35046344157
29730,1.0,0.0,1.0,0.0,0.0,0.0,5,Beatties Ford Rd,2018-2022,71fbdab7-1a68-47e3-bc0e-43c3db3e3038,2485.35116742457
29749,0.0,1.0,0.0,0.0,0.0,1.0,1,Beatties Ford Rd,2014-2018,07be2645-90eb-4257-b21b-ddb23e6a405b,2485.35080402811
29929,0.0,1.0,0.0,0.0,0.0,1.0,1,Beatties Ford Rd,2017-2021,e6ee30ec-3b9b-40f7-94fa-c745ea80df05,2485.35128242678
29996,1.0,0.0,0.0,1.0,0.0,0.0,3,Beatties Ford Rd,2013-2017,727e9466-2ca3-464b-9936-bf498fbaeeab,2483.8667621203
30053,0.0,2.0,0.0,0.0,0.0,2.0,2,Beatties Ford Rd,2015-2019,16203c56-c3bd-4584-8c43-bc631a5dcd8b,2485.35082209921
30200,0.0,1.0,0.0,0.0,0.0,1.0,1,Beatties Ford Rd,2013-2017,59581757-9dc4-49f5-bc59-65ed2c9443c6,2485.43785513488
30420,2.0,2.0,0.0,2.0,0.0,2.0,8,Beatties Ford Rd,2013-2017,0f8e910f-19a5-43fe-92e1-ae4914c75fc1,2484.02341396678
30580,2.0,3.0,0.0,2.0,0.0,3.0,9,Beatties Ford Rd,2016-2020,39395855-0ab5-4f22-9446-26a316c8a7ba,2485.35067985382
30871,1.0,0.0,0.0,1.0,0.0,0.0,3,Beatties Ford Rd,2014-2018,ffe445fd-714d-44a7-abe8-d3afd06de2b0,2485.35122630787
30886,0.0,1.0,0.0,0.0,1.0,0.0,5,Beatties Ford Rd,2014-2018,6c96ae44-f69e-4bda-9d6c-a0c4c7802b0c,2485.3509329245
31004,1.0,3.0,1.0,0.0,1.0,2.0,12,Beatties Ford Rd,2016-2020,836a659a-449c-45f7-9662-14efd42f0304,2485.35070712893
31125,0.0,2.0,0.0,0.0,1.0,1.0,6,Beatties Ford Rd,2019-2023,9cf5a963-4085-40f8-b509-17c3d69f33a3,2067.47348635617
31256,4.0,3.0,1.0,3.0,1.0,2.0,21,Beatties Ford Rd,2019-2023,2fb1b25a-d176-4b04-9c01-0c60662c56ce,2485.35067985382
31269,1.0,2.0,1.0,0.0,1.0,1.0,11,Beatties Ford Rd,2014-2018,f3e6dddf-9c38-4bc2-b5ba-02b5ba4d72ac,2485.35080680194
31356,1.0,0.0,0.0,1.0,0.0,0.0,3,Beatties Ford Rd,2014-2018,0cab1c0d-24c9-40a9-8a5d-b2d9d6bb821a,2485.35120110344
